"Date","Area","OSgrid","longitude","latitude","Alt","Aspect","Incline","Location","Obs","FAH","OAH","Air.Temp","Wind.Dir","Wind.Speed","Cloud","Precip.Code","Drift","Total.Snow.Depth","Foot.Pen","Ski.Pen","Rain.at.900","Summit.Air.Temp","Summit.Wind.Dir","Summit.Wind.Speed","Max.Temp.Grad","Max.Hardness.Grad","No.Settle","Snow.Index","Insolation","Crystals","Wetness","AV.Cat","Snow.Temp"
2010-01-25 13:45:00,"Creag Meagaidh","NN445398",-0.843894847727095,2.21048212280908,"930",200,40,"Carrie's Gully, Creag Mhor ridge","TR","Considerable -","Moderate","-3.8",200,25,100,"0 - None","1",61,25,NA,0,NA,NA,NA,13,3,NA,NA,NA,NA,NA,NA,NA
2010-01-26 13:30:00,"Creag Meagaidh","NN433880",-0.410807223562914,2.19894045528512,"850",45,37,"Botom of Easy Gully, Coire Ardair","TR","Considerable -","Considerable -","5",180,25,100,"0 - None","0",65,13,NA,1,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA
2010-01-27 14:00:00,"Creag Meagaidh","NN433864",-0.425181838051137,2.19896547661647,"870",20,30,"Above Lochain Coire Choile Rais","TR","Considerable +","Moderate","8",270,35,100,"0 - None","0",80,20,NA,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2010-01-28 12:30:00,"Creag Meagaidh","NN454880",-0.41077434630598,2.2179200041035,"880",110,37,"Bealach a Ghoire","TR & WS","Considerable -","Considerable +","-1",320,30,100,"2 - Trace","1",80,12,NA,0,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
2010-01-29 12:45:00,"Creag Meagaidh","NN448898",-0.394612377900246,2.21246878663457,"910",160,34,"Wall Gully, Coire Chriochairein","TR & WS","Considerable +","Considerable -","-4.9",350,35,90,"6 - Snow Showers","1",60,30,NA,0,NA,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA
2010-01-30 13:25:00,"Creag Meagaidh","NN443895",-0.397315470200133,2.20795465565421,"850",100,41,"LLifa Gully, Coire Chriochairein","TR","Considerable +","Considerable -","-5",320,25,50,"6 - Snow Showers","1",100,31,NA,0,NA,NA,NA,24,2,NA,NA,NA,NA,NA,NA,NA
2010-01-31 13:50:00,"Creag Meagaidh","NN450901",-0.39191400538514,2.21427156988895,"950",170,33,"The Min Window","TR","Considerable -","High","-5",320,35,80,"4 - Light Showers","1",70,31,NA,0,NA,NA,NA,12,2,NA,NA,NA,NA,NA,NA,NA
2010-02-01 13:30:00,"Creag Meagaidh","NN454879",-0.411672766280803,2.21792158555253,"870",80,31,"Bealach a Ghoire","TR","Considerable +","Considerable -","-2.1",250,25,100,"8 - Snow","1",80,40,NA,0,NA,NA,NA,17,2,NA,NA,NA,NA,NA,NA,NA
2010-02-02 16:30:00,"Creag Meagaidh","NN427885",-0.406324547851745,2.19350989778608,"900",100,34,"The Window","TR","Considerable -","Considerable -","-2.8",350,30,20,"2 - Trace","1",100,40,NA,0,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA
2010-02-03 13:10:00,"Creag Meagaidh","NN450899",-0.393710814562702,2.21427475003013,"900",120,30,"Min Window","KM","Considerable +","Considerable +","-4.8",140,10,100,"0 - None","0",205,30,NA,0,NA,NA,NA,22,1,NA,NA,NA,NA,NA,NA,NA
2010-02-04 13:05:00,"Creag Meagaidh","NN448897",-0.395510783019325,2.21247037404101,"910",90,33,"Wall Gully, Coire Chriochairein","TR","Considerable -","Considerable -","0.5",190,15,20,"8 - Snow","1",120,40,NA,0,NA,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA
2010-02-05 11:00:00,"Creag Meagaidh","NN426885",-0.406326105206718,2.19260611276995,"960",300,29,"The Window. Summit","TR","Moderate","Moderate","1",145,35,100,"4 - Light Showers","0",80,28,NA,0,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA
2010-02-06 13:15:00,"Creag Meagaidh","NN463895",-0.397283873336949,2.2260302200737,"750",220,35,"Cairn Liath","WS","Moderate","Moderate","1.5",90,10,100,"","0",30,15,NA,0,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-02-07 13:15:00,"Creag Meagaidh","NN448895",-0.397307595195466,2.21247354721599,"750",160,30,"Coire a Chriochairein","WS","Moderate","Moderate","0",90,5,100,"","0",62,5,NA,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2010-02-08 13:30:00,"Creag Meagaidh","NN460870",-0.419749162079247,2.22335855985471,"600",100,30,"Col Creag Bheag","WS","Moderate","Moderate","-0.1",110,5,90,"","0",58,0,NA,0,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
2010-02-09 14:00:00,"Creag Meagaidh","NN434887",-0.404516818435081,2.19983324840749,"800",160,35,"Poite Coire Ardair","WS","Moderate","Moderate","0",45,15,70,"","1",NA,12,NA,0,NA,NA,NA,14,4,NA,NA,NA,NA,NA,NA,NA
2010-02-10 14:00:00,"Creag Meagaidh","NN495918",-0.376569005200156,2.25491378575533,"900",160,25,"Coire Dubh","WS","Moderate","Moderate","-2.8",280,5,70,"2 - Trace","1",NA,5,NA,0,-4,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA
2010-02-11 14:00:00,"Creag Meagaidh","NN448898",-0.394612377900246,2.21246878663457,"930",110,39,"Boundary Wall Gully. Coire Chriochairein","TR","Moderate","Considerable -","-1.5",350,10,100,"2 - Trace","0",70,30,NA,0,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA
2010-02-12 14:00:00,"Creag Meagaidh","NN426886",-0.405427704236029,2.19260454613549,"93",175,33,"The Window","TR","Moderate","Moderate","-1.9",360,18,50,"4 - Light Showers","1",50,25,NA,0,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA
2010-02-13 11:05:00,"Creag Meagaidh","NN462899",-0.39369180706625,2.22512005709334,"870",170,41,"Top of Balloon Gully","TR","Considerable -","Moderate","-1.1",350,7,100,"2 - Trace","0",102,27,NA,0,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA
2010-02-14 13:40:00,"Creag Meagaidh","NN426885",-0.406326105206718,2.19260611276995,"950",10,35,"The Window","KM","Considerable +","Considerable -","0.4",280,10,100,"4 - Light Showers","0",135,10,NA,1,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA
2010-02-15 12:50:00,"Creag Meagaidh","NN451900",-0.392810828705131,2.21517693523895,"920",100,35,"Min Window","KM","Considerable +","Considerable +","-2.1",270,15,80,"6 - Snow Showers","1",105,30,NA,0,NA,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA
2010-02-16 12:45:00,"Creag Meagaidh","NN427886",-0.405426146343092,2.19350833050526,"900",85,32,"Wee Gutter, the Inner Corrie","TR","High","High","-2",90,5,100,"6 - Snow Showers","1",80,32,NA,0,NA,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA
2010-02-17 12:45:00,"Creag Meagaidh","NN447897",-0.395512360396719,2.21156659705043,"860",220,39,"Backwall Coire Chriochairein","TR, WS","Considerable +","Considerable -","-3.5",100,7,60,"8 - Snow","1",100,52,NA,0,NA,NA,NA,27,2,NA,NA,NA,NA,NA,NA,NA
2010-02-18 13:20:00,"Creag Meagaidh","NN442870",-0.41977733147674,2.20709026086592,"950",240,40,"Creag Mhor Ridge","TR & WS","Considerable -","Considerable -","-3.1",0,5,0,"0 - None","0",70,44,23,0,NA,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA
2010-02-19 14:00:00,"Creag Meagaidh","NN485906",-0.387366160974952,2.24589559134363,"910",50,42,"No.2 Gully, Coire nan Gall","TR","Considerable -","Considerable -","-5",45,15,50,"0 - None","0",80,25,20,0,NA,NA,NA,17,3,NA,NA,NA,NA,NA,NA,NA
2010-02-20 14:00:00,"Creag Meagaidh","NN425886",-0.405429261485384,2.19170076175367,"940",360,37,"The Window - snowholes site","TR","Considerable -","Considerable -","-8",0,0,0,"0 - None","0",110,42,NA,0,NA,NA,NA,80,2,NA,NA,NA,NA,NA,NA,NA
2010-02-21 13:10:00,"Creag Meagaidh","NN463900",-0.392791806913748,2.22602223436141,"860",160,39,"Top of Balloon Gully","TR","Considerable -","Considerable -","-3",175,11,0,"0 - None","0",90,40,NA,0,NA,NA,NA,24,3,NA,NA,NA,NA,NA,NA,NA
2010-02-22 13:15:00,"Creag Meagaidh","NN453877",-0.41347117853107,2.21702095695661,"850",60,32,"Bealach a Ghoire","TR","Considerable -","Considerable -","-7",220,5,0,"0 - None","0",60,35,25,0,NA,NA,NA,21,4,NA,NA,NA,NA,NA,NA,NA
2010-02-23 13:05:00,"Creag Meagaidh","NN459882",-0.408969633169815,2.22243577251405,"800",125,42,"Top of NE ridge of Sron a Ghoire","TR","High","High","-1",170,10,0,"0 - None","0",50,12,NA,0,NA,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA
2010-02-24 14:00:00,"Creag Meagaidh","NN451900",-0.392810828705131,2.21517693523895,"930",300,31,"The Min Window","TR","High","High","-4.7",130,45,100,"6 - Snow Showers","1",60,50,NA,0,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA
2010-02-25 13:00:00,"Creag Meagaidh","NN475887",-0.404452183644475,2.23688836712465,"610",260,32,"Na Cnapanan","TR","High","High","-2.5",70,35,100,"10 - Heavy Snow","1",100,90,NA,0,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA
2010-02-26 13:10:00,"Creag Meagaidh","NN475887",-0.404452183644475,2.23688836712465,"610",190,30,"Na Cnapanan","TR","High","High","-1",45,35,100,"8 - Snow","1",111,50,NA,0,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA
2010-02-27 12:45:00,"Creag Meagaidh","NN467892",-0.399972777135066,2.229650124985,"550",140,28,"Coire Ardair- below Na Canapan","TR","High","High","-0.5",90,20,80,"0 - None","1",74,50,NA,0,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA
2010-02-28 13:30:00,"Creag Meagaidh","NN455883",-0.408077515954785,2.2188190424412,"800",300,39,"NE Gullies. Sron a Ghoire","WS & TR","High","High","-2.4",45,10,10,"0 - None","1",90,27,12,0,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA
2010-03-01 12:50:00,"Creag Meagaidh","NN472895",-0.397269570491756,2.23416422246725,"700",230,39,"Col between Carn Liath & Na Cnapanan","TR","High","High","0",360,10,10,"0 - None","1",90,35,9,0,NA,NA,NA,20,4,NA,NA,NA,NA,NA,NA,NA
2010-03-02 13:05:00,"Creag Meagaidh","NN461893",-0.39908387355182,2.22422585169799,"500",265,25,"Base of Balloon Gully","TR","High","High","1",NA,2,0,"0 - None","0",100,31,5,0,NA,NA,NA,31,3,NA,NA,NA,NA,NA,NA,NA
2010-03-03 13:10:00,"Creag Meagaidh","NN471895",-0.397271162279433,2.23326044447261,"750",230,34,"SW flank Carn Liath - test pit site","TR","Considerable +","Considerable -","1.5",145,3,40,"0 - None","0",120,15,5,0,NA,NA,NA,23,3,NA,NA,NA,NA,NA,NA,NA
2010-03-04 13:25:00,"Creag Meagaidh","NN416852",-0.435989057863778,2.18361944527972,"800",272,27,"Moy Corrie","TR","High","Considerable -","2",270,2,60,"0 - None","0",220,5,1,0,NA,NA,NA,63,3,NA,NA,NA,NA,NA,NA,NA
2010-03-05 13:35:00,"Creag Meagaidh","NN448896",-0.396409188784473,2.21247196090149,"890",195,32,"Boundary Wall Gully","TR","Considerable -","Considerable -","0",330,35,100,"6 - Snow Showers","1",95,40,NA,1,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA
2010-03-06 13:05:00,"Creag Meagaidh","NN444895",-0.397313896490436,2.20885843399087,"860",100,37,"Lifa Gully. Coire Chriochairein","TR/WS","Considerable -","Considerable -","3",NA,3,100,"0 - None","0",85,33,NA,0,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA
2010-03-07 13:45:00,"Creag Meagaidh","NN449898",-0.394610799333954,2.21337256296393,"940",205,35,"Coire a' Chriochairein East side","KM","Considerable -","Moderate","0",225,5,100,"2 - Trace","0",96,15,NA,0,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA
2010-03-08 13:15:00,"Creag Meagaidh","NN453881",-0.409877499523968,2.21701463483494,"840",310,35,"Sron a' Ghoire NE ridge","KM","Considerable -","Moderate","0.5",NA,0,0,"0 - None","0",64,10,NA,0,NA,NA,NA,13,3,NA,NA,NA,NA,NA,NA,NA
2010-03-09 14:00:00,"Creag Meagaidh","NN443892",-0.400010685173404,2.20795940159938,"900",145,38,"SE Ridge Coire Chriochairein","TR","Moderate","Moderate","3",NA,3,50,"0 - None","0",52,12,NA,0,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-03-10 13:10:00,"Creag Meagaidh","NN435863",-0.426077156279352,2.20077463401561,"890",360,30,"Meall Coire Choile Rais","TR","Considerable -","Considerable -","-1",270,3,50,"0 - None","0",78,10,NA,0,NA,NA,NA,27,3,NA,NA,NA,NA,NA,NA,NA
2010-03-11 13:10:00,"Creag Meagaidh","NN453882",-0.408979081377942,2.21701305293673,"850",100,37,"NE Gullies, Sron a Ghoire","TR","Moderate","Moderate","0.7",280,35,100,"4 - Light Showers","1",110,18,NA,1,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA
2010-03-12 13:55:00,"Creag Meagaidh","NN448897",-0.395510783019325,2.21247037404101,"920",120,41,"Boundary Wall Gully, Coire Ardair","TR","Moderate","Moderate","0.3",325,30,80,"2 - Trace","0",80,25,NA,1,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-03-13 11:45:00,"Creag Meagaidh","NN455895",-0.397296543072686,2.2187999948913,"600",180,30,"Below Min Window","WS / TR","","Moderate","4",300,25,100,"","0",42,NA,NA,0,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-03-14 13:15:00,"Creag Meagaidh","NN463904",-0.389198165415607,2.22601583590401,"920",100,30,"Sharks Gultch, Carn Liath","","Considerable -","Considerable -","1.8",300,20,100,"4 - Light Showers","0",180,20,NA,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2010-03-15 13:05:00,"Creag Meagaidh","NN443895",-0.397315470200133,2.20795465565421,"870",90,33,"Coire Chriochairein","TR","Moderate","Moderate","1.2",27,40,20,"6 - Snow Showers","1",77,23,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
2010-03-16 16:04:00,"Creag Meagaidh","NN453876",-0.414369599887483,2.21702253611923,"940",95,42,"Re-entrant. Sron aGhoire","TR","Considerable -","Considerable -","0",235,30,100,"","0",100,15,NA,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2010-03-17 12:20:00,"Creag Meagaidh","NN462899",-0.39369180706625,2.22512005709334,"900",95,38,"Balloon Gully, Coire Ardair","TR","Considerable +","Considerable +","3.5",225,40,80,"6 - Snow Showers","1",76,35,NA,1,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-03-18 13:10:00,"Creag Meagaidh","NN435863",-0.426077156279352,2.20077463401561,"900",360,31,"Shoulder of Meall Coire Choile Rais","TR","Considerable +","Considerable +","4",225,40,100,"0 - None","0",100,31,NA,1,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-03-19 12:45:00,"Creag Meagaidh","NN426886",-0.405427704236029,2.19260454613549,"880",100,34,"The Window, Inner Coire","TR","Moderate","Moderate","0.9",270,NA,100,"4 - Light Showers","0",84,30,NA,1,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-03-20 12:05:00,"Creag Meagaidh","NN462899",-0.39369180706625,2.22512005709334,"880",145,40,"Balloon Gully","TR","Moderate","Low","0.9",300,30,80,"2 - Trace","0",100,25,NA,1,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-03-21 13:05:00,"Creag Meagaidh","NN444873",-0.417078952759039,2.20889313792392,"1020",70,25,"Puist Coire Ardair: E ridge","KM","Considerable -","Moderate","0",230,15,100,"2 - Trace","1",92,1,NA,0,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA
